name,twitterHandler,linkTwitter,project,image,note
Rune Christensen,@RuneKek,https://x.com/RuneKek,Founder of MakerDAO and CEO of the Maker Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/%40RuneKek.jpeg?alt=media,
Danny Ryan ,@dannyryan,https://x.com/dannyryan,Ethereum 2.0 researcher at Ethereum Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/%40dannyryan.jpeg?alt=media,
Jed McCaleb,@JedMcCaleb,https://x.com/JedMcCaleb,Co-founder and chief architect at the Stellar Development Foundation,,
xMaki,@0xMaki,https://x.com/0xMaki,Co-founder and core contributor at SushiSwap,,
Joey Krug,@joeykrug,https://x.com/joeykrug,Co-chief investment officer of Pantera Capital and core developer of Augur,,
Willy Woo,@woonomic,https://x.com/woonomic,Independent analyst,,
Stani Kulechov,@StaniKulechov,https://x.com/StaniKulechov,Founder and CEO of AaveDEFI,,
Alex Mashinsky ,@Mashinsky,https://x.com/Mashinsky,"Co-founder, chairman and CEO of Celsius Network",,
WhalePanda,@WhalePanda,https://x.com/WhalePanda,"Twitter influencer and co-host of ""Magical Crypto Friends""",,
Linda Xie,@ljxie,https://x.com/ljxie,Co-founder and managing director of Scalar Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Linda%20Xie.jpg?alt=media,
Alessandro Chiesa,x,x,"Co-founder of Zcash, and co-founder and chief scientist of StarkWare",,
Dan Held,@danheld,https://x.com/danheld,Growth lead at Kraken,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dan%20Held.jpg?alt=media,
Joshua Frank,@Joshua_Frank_,https://x.com/Joshua_Frank_,Co-founder and CEO of The Tie,,
Yoni Assia ,@yoniassia,https://x.com/yoniassia,Founder and CEO of eToro,,
Tim Draper,@TimDraper,https://x.com/TimDraper,Founder of Draper Associates ,,
Michael Sonnenshein,x,x ,CEO of Grayscale Investments,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sonnenshein.jpg?alt=media,
Adam Back,@adam3us,https://x.com/adam3us,Co-founder and CEO of Blockstream,,
Spencer Dinwiddie ,@SDinwiddie_25,https://x.com/SDinwiddie_25,Professional basketball player for the Brooklyn Nets,,
Sebastien Borget ,@borgetsebastien,https://x.com/borgetsebastien,"Co-founder and chief operating officer of The Sandbox, and president of the Blockchain Gaming Alliance",,
Scott Melker,x,x,"Host of ""The Wolf of All Streets""",,
Yat Siu ,@ysiu,https://x.com/ysiu,Co-founder and chairman of Animoca Brands,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Yat%20Siu.jpg?alt=media,
Marco Santori ,@msantoriESQ,https://x.com/msantoriESQ,Chief legal officer of Kraken,,
